episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_gpu_penalty,penalty_cpu_penalty,penalty_total_penalty
1853,18111,0.0,6093.905924081802,0.6,49.5,7.809791564941406,7.96600341796875,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1853,18112,0.0,6094.236513137817,0.6,49.5,7.809719085693359,7.966083526611328,0,815.23828125,8192.0,9.951639175415039,2,0.0,0.0,0.0,0.0
1853,18113,0.0,6094.5676963329315,2.8,49.5,7.809650421142578,7.966144561767578,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1853,18114,0.0,6094.913638353348,0.0,49.5,7.809429168701172,7.966365814208984,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1853,18115,0.0,6095.261288881302,0.0,49.5,7.8094635009765625,7.966331481933594,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1853,18116,3.0,6095.589897155762,0.0,49.5,7.809490203857422,7.966304779052734,2,815.23828125,8192.0,9.951639175415039,4,0.0,0.0,0.0,0.0
1854,18117,2.0,6095.919373989105,0.0,49.5,7.8094635009765625,7.966331481933594,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1854,18118,0.0,6096.246965646744,0.0,49.5,7.8094635009765625,7.966331481933594,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1854,18119,0.0,6096.591173171997,0.7,49.5,7.813499450683594,7.9622955322265625,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1854,18120,0.0,6096.922677755356,0.7,49.5,7.813201904296875,7.962593078613281,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1854,18121,0.0,6097.255095243454,0.9,49.5,7.813201904296875,7.962593078613281,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1854,18122,0.0,6097.603099822998,0.0,49.5,7.812904357910156,7.962890625,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1854,18123,0.0,6097.933262825012,0.0,49.5,7.812614440917969,7.9631805419921875,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1855,18124,-8.0,6098.261811494827,0.6,49.5,7.812602996826172,7.963191986083984,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1855,18125,0.0,6098.591106176376,0.0,49.5,7.812103271484375,7.963691711425781,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1855,18126,-2.0,6098.935040950775,0.0,49.5,7.811893463134766,7.963901519775391,2,815.23828125,8192.0,9.951639175415039,4,0.0,0.0,0.0,0.0
1855,18127,0.0,6099.2674062252045,0.0,49.5,7.811885833740234,7.963909149169922,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1855,18128,0.0,6099.595643758774,0.5,49.5,7.811603546142578,7.964191436767578,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1855,18129,5.0,6099.92765879631,9.0,49.5,7.811290740966797,7.964504241943359,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1856,18130,0.0,6100.273634195328,0.0,49.5,7.811344146728516,7.964450836181641,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1856,18131,16.0,6100.621801376343,0.0,49.5,7.811210632324219,7.9645843505859375,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1856,18132,0.0,6100.964754343033,0.0,49.5,7.813282012939453,7.962512969970703,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1856,18133,0.0,6101.295090913773,0.7,49.5,7.813270568847656,7.9625244140625,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1856,18134,0.0,6101.626021146774,0.2,49.5,7.813426971435547,7.962368011474609,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1856,18135,-4.0,6101.956079244614,0.9,49.5,7.813518524169922,7.962276458740234,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1856,18136,0.0,6102.287224531174,0.9,49.5,7.813499450683594,7.9622955322265625,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1856,18137,0.0,6102.618625640869,0.0,49.5,7.813091278076172,7.962703704833984,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1856,18138,0.0,6102.9635944366455,0.0,49.5,7.812755584716797,7.963039398193359,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
